"Title","Image","Sunlight","Water","Pet-Safe","Text Tags","Tags","Plants (Item)","Plants","ID","Created Date","Updated Date","Owner"
"Pilea","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape-plant-care-guide_pilea_600x600.jpg?ver=282405","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Pilea prefers bright, indirect light. Direct sun may burn the leaves. In order to prevent your Pilea from growing lopsided, rotate it at least 2-3 times a week since it grows towards the sun. This plant can adapt to lower light areas, but the leaves will turn a darker green and the plant will spread out more.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Pilea when the top 75% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Pilea are generally non-toxic for humans and pets. However, when ingested in very large quantities, they can cause a mild digestive reaction.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢🌢"",""★"",""✔""]","/plants/pilea","/plants/","a976c9e7-f812-4fce-b6ff-35edc408683e",2024-12-01T21:13:35Z,2024-12-01T21:36:34Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Spider Plant","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape-spider-plant_detail-1-e1598641341111.jpg?ver=282449","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your spider plant can be placed in low to indirect bright light. The more light the plant receives, the bolder the stripes will be. Watch out for too much direct light and it can scorch the leaves. If you don’t have an ideal location for your Spider Plant, use a Grow Light.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your spider plant when 50-75% of the soil volume is dry. Dry crispy tips often point to underwatering while dark brown tips point to overwatering. Water thoroughly and discard of any excess water in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">The Spider Plant is non-toxic and safe for humans, dogs, and cats.</p>","Sunlight: ☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎"",""🌢🌢"",""★"",""✔""]","/plants/spider-plant","/plants/","b0d089ed-b2fe-4d43-a3ea-4b0a895fc382",2024-12-01T21:13:35Z,2024-12-01T21:38:01Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Euonymus","https://bloomscape.com/wp-content/uploads/2022/02/iStock-1333884739.jpg?ver=666983","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your euonymus will love bright, indirect sunlight. Avoid placing it in direct sunlight as this may cause the leaves to burn and turn white. Eastern exposure or a few feet back from a southern or western window is ideal.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when 50% of the soil volume is dry. Water thoroughly until you see it flow out of the drainage hole. Discard any excess water to avoid root rot. Your euonymus needs less water during the winter dormant season.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">The euonymus plant is toxic to humans and pets if ingested.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢"",""★"",""✘""]","/plants/euonymus","/plants/","b215d10a-1184-4f55-be1c-9d0303c773f4",2024-12-01T21:13:35Z,2024-12-01T21:31:50Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Calathea","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_calathea-medallion_detail_600x600.jpg?ver=282340","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Calathea prefers medium to bright indirect light—so placing it in front of an east, west, or north window is ideal. Direct sun burns the leaves and causes the beautiful leaf colors to fade.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Calathea when the top 25% of soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Your Calathea is non-toxic to cats, dogs, and humans.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★★
Pet-Safe: ✔","[""☀︎☀︎"",""🌢🌢🌢"",""★★★"",""✔""]","/plants/calathea","/plants/","b512967f-3d1c-44d0-b1bd-d5e341f9ba42",2024-12-01T21:13:35Z,2024-12-01T21:41:25Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Dracaena","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_dracaena-open-weave_detail_600x600.jpg?ver=282352","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Dracaena prefers bright indirect light but can survive in low light. Leaves with less variegation, slow growth, and small new leaves indicate it is not getting enough light.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Overwatering causes root rot and is the main reason a dracaena plant dies. Water your plant thoroughly and allow the top 75% of the soil to dry before watering again. In low light, allow the soil to dry completely before watering. Water your plant less in the winter, when light levels are lower and growth has slowed.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Dracaena leaves are toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation with possible vomiting.</p>","Sunlight: ☀︎☀︎
Water: 🌢
Difficulty: ★★★
Pet-Safe: ✘","[""☀︎☀︎"",""🌢"",""★★★"",""✘""]","/plants/dracaena","/plants/","b58c65bd-e554-408e-af0d-c56783fd7b8d",2024-12-01T21:13:35Z,2024-12-01T21:31:29Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Schefflera","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_schefflera-arboricola_detail_600x600.jpg?ver=282389","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Schefflera prefers bright indirect light. It can also tolerate medium and low light, but growth will slow. Direct sun in the early morning and late afternoon is fine, but avoid exposure to the harsh midday sun which can scorch the leaves.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when 75% of the soil volume is dry. Water slowly, allowing it to soak into the soil, until it flows freely through the drainage hole. Discard any excess water that accumulates in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This plant is considered toxic to pets and humans if ingested.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎"",""🌢🌢"",""★"",""✘""]","/plants/schefflera","/plants/","b688841d-81ee-4ee5-99dc-bda2202fda3d",2024-12-01T21:13:35Z,2024-12-01T21:37:49Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Ivy","https://bloomscape.com/wp-content/uploads/2021/12/Bloomscape_IvyGlacier_small_Detail-scaled.jpg?ver=639542","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Ivy plants prefer bright indirect light but no direct sun as the foliage will burn. In less light, the ivy will become leggy and sparse.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Let the top 25-50% of the soil dry out before watering. Allow the water to flow freely from the drainage holes on the bottom of the pot. Always empty the saucer of any water. Ivy does not like its roots constantly wet. Crispy brown leaves indicate over-watering, not under-watering.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Ivy is mildly toxic to humans and pets. Typically, ingestion will cause mouth and stomach irritation and possible vomiting.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢"",""★★"",""✘""]","/plants/ivy","/plants/","b7089aa3-c61b-4680-8b0f-ecd286552233",2024-12-01T21:13:35Z,2024-12-01T21:34:12Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Sansevieria","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_sansevieria_detail_600x600.jpg?ver=282388","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Snake Plant can tolerate any light level. The brighter the light, the faster it will grow. Always acclimate the plant over a few weeks if moving from indirect to direct light to avoid scorching the foliage.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water only when the soil volume is 100% dry. It’s better to err on the dry side. Water thoroughly to encourage a healthy root system and discard any excess water in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Snake Plants are toxic to humans and pets if ingested.</p>","Sunlight: ☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎"",""🌢"",""★"",""✘""]","/plants/sansevieria","/plants/","c9283aca-4b24-4d47-861c-8b82e84f9e3f",2024-12-01T21:13:35Z,2024-12-01T21:37:35Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Palm","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_parlor-palmloomscape_detail_600x600.jpg?ver=282365","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Palm prefers bright indirect light but can adapt to medium to low light areas.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Palm when the top 50% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Completely non-toxic to humans and pets.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎☀︎"",""🌢🌢"",""★"",""✔""]","/plants/palm","/plants/","d09beeba-759a-4ed2-89b0-539202f781f4",2024-12-01T21:13:35Z,2024-12-01T21:35:51Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Euphorbia","https://bloomscape.com/wp-content/uploads/2021/12/Bloomscape_CactiEuphorbiaTrigona_xs_alabaster_Detail-scaled.jpg?ver=639585","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your euphorbia needs bright direct light. This means a spot that gets 6 plus hours of direct sun per day.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your euphorbia when the soil volume is 100% dry. Water thoroughly until it flows out of the drainage hole. Discard excess water to discourage root rot.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">The euphorbias are toxic to humans and pets.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢"",""★"",""✘""]","/plants/euphorbia","/plants/","d4ea382b-b588-495f-a186-b86c8be5adf2",2024-12-01T21:13:35Z,2024-12-01T21:32:01Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Fern","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_kimberly-queen-fern_detail_600x600.jpg?ver=282359","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your fern will do best in medium to low light. The more light it receives, the more the leaves will crinkle and the less light, the flatter the leaves will be. Keep in mind, too much light or extended periods of direct sunlight will cause the fronds on the fern to get a pale bleached color.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when the top 25% of the soil is dry. When watering, water only the soil – not the leaves. Water accumulating in the crown of your plant could lead to bacterial growth and potential leaf rot. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Ferns are non-poisonous plants and safe for humans, dogs and cats.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎☀︎"",""🌢🌢🌢"",""★"",""✔""]","/plants/fern","/plants/","d5003259-efc6-47c0-bc47-62902e22d5ea",2024-12-01T21:13:35Z,2024-12-01T21:32:19Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Coffee Plant","https://bloomscape.com/wp-content/uploads/2021/11/Plant-Care-Details-600x600-1.jpg?ver=618918","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Coffee Plant prefers bright indirect sunlight, having developed in the lower levels of Ethiopian forests. Too much direct sunlight can brown the leaves.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Your Coffee Plant enjoys frequent waterings. Water when 25% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Coffee Plant leaves are toxic to both pets and humans.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★★"",""✘""]","/plants/coffee-plant","/plants/","d5cdbf5a-ddaa-43b8-9613-eee04c244135",2024-12-01T21:13:35Z,2024-12-01T21:30:16Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Aglaonema","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_spring-snow-aglaonema_detail_600x600.jpg?ver=282392","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Aglaonema prefers indirect bright light. It can adapt to low light, &nbsp;but the growth will slow considerably. Direct morning sunlight is fine &nbsp;for this plant, but avoid direct afternoon sunlight which can burn the &nbsp;leaves. If you don’t have an ideal location for your Aglaonema, use a <a href=""https://bloomscape.com/product/large-grow-light/"">Grow Light.</a> In low light, its color and variegation will not be as pronounced.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8""><a href=""https://bloomscape.com/product/watering-can/"">Water your Aglaonema</a> when 50% of the soil volume is dry. Water until liquid flows through &nbsp;the drainage hole at the bottom of the pot and discard any water that &nbsp;has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">The Aglaonema is moderately toxic to pets and humans. Typically, &nbsp;ingestion will cause mouth and stomach irritation and possible vomiting.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎"",""🌢🌢"",""★"",""✘""]","/plants/aglaonema","/plants/","d9503c41-1e24-4b2a-9706-86f3aba2107c",2024-12-01T00:36:23Z,2024-12-01T21:39:02Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Croton","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_product_croton-petra_detail_600x600.jpg?ver=282377","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Croton will do best in a bright spot, as it needs lots of light (if possible 4-6 hrs. Per day) to produce all those colorful leaves! If your croton does not get enough light, you might find the plant grows tall and lanky with spare leaves lacking the rich, dark hues.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when the top 25%-50% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Your Croton is moderately toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation and possible vomiting.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★★"",""✘""]","/plants/croton","/plants/","df916909-35de-4f8a-a519-862423d7d73b",2024-12-01T21:13:35Z,2024-12-01T21:30:58Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Kalanchoe","https://bloomscape.com/wp-content/uploads/2020/10/bloomscape_holiday-succulent_collection_kalanchoe-flapjack.jpg?ver=321426","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Place your Kalanchoe in bright light or full sun. It will not thrive if it does not receive enough sunlight.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Your Kalanchoe does not need to be watered as frequently as most indoor plants. Water only when the soil is completely dry, or when you notice the leaves starting to shrivel. Water thoroughly so the roots have a chance to soak up the moisture. Make sure there is no standing water left in the saucer, as this can lead to root rot.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Your Kalanchoe is considered to be toxic to pets.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢"",""★"",""✘""]","/plants/kalanchoe","/plants/","e7da1d8a-f3ab-44b7-8b8c-1f52404f280a",2024-12-01T21:13:35Z,2024-12-01T21:34:31Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Olive Tree","https://bloomscape.com/wp-content/uploads/2023/05/230516_bloomscape_olive_trees_10841-e1684438662493.jpg?ver=1037762","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your olive tree prefers direct sunlight. Place your plant in a full sun location that receives 6+ hours of direct sunlight per day.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when 25% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot. Do not use a saucer outdoors or allow the plant to sit in standing water.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Your olive tree is considered nontoxic and pet-friendly.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★★"",""✔""]","/plants/olive-tree","/plants/","f5607adf-5640-4698-95f3-a39067799ae2",2024-12-01T21:13:35Z,2024-12-01T21:35:27Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Anthurium","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_detail-red-anthurium_600x600.jpg?ver=282351","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Anthurium prefers bright indirect light. Direct sun may burn the leaves. The more light the plant receives, the more blooms your plant will produce.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Anthurium when 50-75% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer. Overwatering causes yellow leaf tips and underwatering causes brown leaf tips.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This plant is considered toxic to pets and humans if ingested.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘","[""☀︎☀︎"",""🌢🌢"",""★★"",""✘""]","/plants/anthurium","/plants/","ffcf93a8-50e1-4f11-9cef-18affffbfc0f",2024-12-01T21:13:35Z,2024-12-01T21:39:53Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
